Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
275,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
276,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
277,0.602036,0.840788,0.764385,-0.990427,-2.732331,-5.694209
278,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
279,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
280,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
281,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
282,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
283,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
284,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
285,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
286,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
287,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
288,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
289,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
290,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
291,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
292,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
293,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
294,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
295,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
296,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
297,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
298,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
299,0.642897,0.874233,0.740902,-0.951854,-2.904533,-5.567164
